,number,location
0,1122,3.982373708925335
1,1123,3.9758190074717374
2,1124,2.9835165063668585
3,1125,3.9797287516950233
4,1126,5.970854377806651
5,1127,1.9897284055343722
6,1128,0.9952091096127551
7,1129,0.9945678690637229
8,1130,2.985213605038077
9,1131,2.984665140061188
10,1132,4.975127418695651
11,1133,2.9846788167894664
12,1134,2.985133617315399
13,1135,2.984714513344056
14,1136,3.9640757879404767
15,1137,3.9577617566357612
16,1138,2.970113318748933
17,1139,3.9613356828206188
18,1140,5.943511962607181
19,1141,1.9804908142952118
20,1142,0.9907418691997059
21,1143,0.9899302660154623
22,1144,2.971594963182152
23,1145,2.9709000480420915
24,1146,4.952368132065647
25,1147,2.9709258613888165
26,1148,2.9714954800918822
27,1149,2.970969770169433
28,1150,3.9459383250431737
29,1151,3.939560326482555
30,1152,2.956529018953649
31,1153,3.9431242281470205
32,1154,5.916281000053682
33,1155,1.9713721249141716
34,1156,0.9862272681249544
35,1157,0.9853605481188737
36,1158,2.9579886569303784
37,1159,2.957246407729656
38,1160,4.929671095350536
39,1161,2.9572755380987368
40,1162,2.9578827384360826
41,1163,2.9573221954305
42,1164,3.9278524826237082
43,1165,3.921471765201581
44,1166,2.9429798573163515
45,1167,3.925021491742633
46,1168,5.889151624517091
47,1169,1.9623168927223293
48,1170,0.9817133446118598
49,1171,0.9808303593552415
50,1172,2.9444275682760583
51,1173,2.9436713448267047
52,1174,4.907063413793918
53,1175,2.94370152342855
54,1176,2.9443197650817345
55,1177,2.943748981476034
56,1178,3.9098387224667377
57,1179,3.903476276724316
58,1180,2.9294835049997507
59,1181,3.9070104665768826
60,1182,5.86213868097105
61,1183,1.9533106404307286
62,1184,0.9772132371196582
63,1185,0.9763273396499181
64,1186,2.930922775048833
65,1187,2.9301640423829887
66,1188,4.884554366655342
67,1189,2.930194489098433
68,1190,2.930814650927956
69,1191,2.930242078502567
70,1192,3.891903856831801
71,1193,3.88556681535393
72,1194,2.9160458526973216
73,1195,3.8890850490485294
74,1196,5.835246901068494
75,1197,1.9443482639997978
76,1198,0.9727314035087389
77,1199,0.9718471749341183
78,1200,2.9174779009511935
79,1201,2.91672059247401
80,1202,4.862146834514176
81,1203,2.9167510393679423
82,1204,2.917369992336557
83,1205,2.916798530531629
84,1206,3.874049980936464
85,1207,3.8677407096074825
86,1208,2.9026687408430965
87,1209,3.871242891529278
88,1210,5.808477540380734
89,1211,1.9354278836616312
90,1212,0.9682693152436705
91,1213,0.967388319203692
92,1214,2.9040940064848595
93,1215,2.903339464785956
94,1216,4.83984149822996
95,1217,2.9033698201115588
96,1218,2.9039864964130953
97,1219,2.9034171347118654
98,1220,3.856277568487302
99,1221,3.849996793858959
100,1222,2.889352617442554
101,1223,3.853482939575095
102,1224,5.781830660421512
103,1225,1.9265487293599528
104,1226,0.9638274167597092
105,1227,0.9629501789471957
106,1228,2.8907712712693487
107,1229,2.890019947751377
108,1230,4.817638283385643
109,1231,2.890050180368301
110,1232,2.8906642212164098
111,1233,2.8900972921172707
112,1234,3.838586536527856
113,1235,3.8323344216254633
114,1236,2.8760974523578358
115,1237,3.8358045847271467
116,1238,5.755305913650529
117,1239,1.9177104133431642
118,1240,0.9594057994794425
119,1241,0.9585324885916862
120,1242,2.877509572752133
121,1243,2.876761612299222
122,1244,4.795536857166489
123,1245,2.8767917119136848
124,1246,2.877403002384182
125,1247,2.8768386124202796
126,1248,3.8209766117388924
127,1249,3.8147531261345464
128,1250,2.862903051816054
129,1251,3.818207373071892
130,1252,5.728902813505211
131,1253,1.9089126799352756
132,1254,0.9550044336718109
133,1255,0.9541350956560807
134,1256,2.8643086852798225
135,1257,2.8635641273820718
136,1258,4.77353679927889
137,1259,2.863594090869547
138,1260,2.864202599887338
139,1261,2.863640777896241
140,1262,3.803447456439751
141,1263,3.7972525035549136
142,1264,2.849769166595604
143,1265,3.8006909049812028
144,1266,5.702620827283308
145,1267,1.9001553194550516
146,1268,0.9506232482098236
147,1269,0.9497578868430779
148,1270,2.851168348574353
149,1271,2.850427196514019
150,1272,4.75163766073961
151,1273,2.8504570232142785
152,1274,2.8510627485093742
153,1275,2.850503496637362
154,1276,3.785998711927391
155,1277,3.7798321728228923
156,1278,2.8366955292381784
157,1279,3.783254800618019
158,1280,5.676459408086599
159,1281,1.8914381386018007
160,1282,0.9462621580057617
161,1283,0.9454007626136408
162,1284,2.8380882912847936
163,1285,2.83735053593597
164,1286,4.729838984092724
165,1287,2.8373802260345973
166,1288,2.8379831752072793
167,1289,2.8374264864545475
168,1290,3.768630013379805
169,1291,3.762491761817695
170,1292,2.823681866845769
171,1293,3.765898688065251
172,1294,5.650418005801754
173,1295,1.8827609502655904
174,1296,0.9419210734475456
175,1297,0.9410636284393985
176,1298,2.825068239085268
177,1299,2.824333867100712
178,1300,4.708140310357798
179,1301,2.824363421072355
180,1302,2.824963605079808
181,1303,2.8244094693358166
182,1304,3.751340994977655
183,1305,3.745230902600651
184,1306,2.810727905478991
185,1307,3.748622199237043
186,1308,5.624496070870087
187,1309,1.8741235700194347
188,1310,0.9375999036435498
189,1311,0.9367463917922142
190,1312,2.8121079174567973
191,1313,2.811376914083971
192,1314,4.686541181413667
193,1315,2.811406332500831
194,1316,2.8120037634167296
195,1317,2.8114521695361923
196,1318,3.7341312916610225
197,1319,3.7280492297724326
198,1320,2.7978333716662864
199,1321,3.731424968467177
200,1322,5.5986930555767245
201,1323,1.8655258149100664
202,1324,0.9332985575375456
203,1325,0.9324489611073294
204,1326,2.7992070526404436
205,1327,2.7984794026900035
206,1328,4.665041140812107
207,1329,2.7985086861559654
208,1330,2.7991033763999575
209,1331,2.7985543129168136
210,1332,3.7170005397286756
211,1333,3.7109463799028983
212,1334,2.784997992919297
213,1335,3.714306632018434
214,1336,5.573008414486486
215,1337,1.8569675030394448
216,1338,0.9290169442909744
217,1339,0.9281712454254294
218,1340,2.786365371961396
219,1341,2.785641060140141
220,1342,4.643639734051419
221,1343,2.7856702092681176
222,1344,2.7862621713409457
223,1345,2.785715626713797
224,1346,3.699948377039175
225,1347,3.6939219913299275
226,1348,2.7722214979063886
227,1349,3.6972668279087806
228,1350,5.547441604586286
229,1351,1.8484484534182761
230,1352,0.9247549734131899
231,1353,0.9239131542682526
232,1354,2.7735826039366818
233,1355,2.772861614961867
234,1356,4.622336508664248
235,1357,2.7728906303660206
236,1358,2.7734798767585764
237,1359,2.772935839454961
238,1360,3.6829744430750466
239,1361,3.676975704085223
240,1362,2.7595036165085753
241,1363,3.680305195846574
242,1364,5.521992085326597
243,1365,1.8399684859131291
244,1366,0.9205125548050055
245,1367,0.9196745975945588
246,1368,2.760858478308458
247,1369,2.7601407969469163
248,1370,4.601131014241527
249,1371,2.7601696792399872
250,1372,2.7607562224021946
251,1373,2.76021468092742
252,1374,3.6660783789598623
253,1375,3.6601071598638084
254,1376,2.7468440798350233
255,1377,3.6634213772032895
256,1378,5.496659318628243
257,1379,1.8315274212257417
258,1380,0.9162895987724318
259,1381,0.9154554857837246
260,1382,2.7481927260517285
261,1383,2.7474783371331104
262,1384,4.580022802434489
263,1385,2.747507086925509
264,1386,2.7480909392557997
265,1387,2.7475518821626963
266,1388,3.6492598274591552
267,1389,3.643316002008573
268,1390,2.734242620224667
269,1391,3.646615014999172
270,1392,5.47144276887728
271,1393,1.8231250808834307
272,1394,0.9120860160301574
273,1395,0.9112557296288705
274,1396,2.7355850793732728
